Code,Label
3110003,Acute otitis media
194289001,Acute right otitis media
194290005,Acute bilateral otitis media
360595002,Acute necrotizing otitis media
297009,Acute myringitis
194311006,Acute myringitis without otitis media
359609001,Acute secretory otitis media
77478005,Acute sanguinous otitis media
17866004,Acute allergic sanguinous otitis media
52353000,Acute mucoid otitis media
8326008,Acute allergic mucoid otitis media
194240006,Acute serous otitis media
59275002,Acute allergic serous otitis media
35183001,Acute transudative otitis media
194288009,Acute left otitis media
19399000,Acute exudative otitis media
270490007,Acute otitis media with effusion
7271000119107,Acute bilateral otitis media with effusion
194281003,Acute suppurative otitis media
14948001,Acute suppurative otitis media without spontaneous rupture of ear drum
232251007,Recurrent acute suppurative otitis media
435141000124102,Recurrent acute suppurative otitis media of right ear
435201000124109,Recurrent acute suppurative otitis media of left ear
86279000,Acute suppurative otitis media with spontaneous rupture of ear drum
194282005,Acute suppurative otitis media due to another disease
84261000119106,Acute persistent otitis media
8304007,Acute seromucinous otitis media
194287004,Recurrent acute otitis media
232252000,Recurrent acute non-suppurative otitis media
111541001,Benign paroxysmal positional vertigo
71305001,Benign paroxysmal vertigo of childhood
194355000,Benign paroxysmal positional vertigo or nystagmus
56663002,Acute infection of pinna
85108007,Acute tubotympanic catarrh
55444004,Transient neonatal neutropenia
80255009,Maternal transfer neutropenia
276576000,Neutropenia of the small for gestational age baby
63171007,Acute infectious disease
240826007,Acute Malayan filariasis
240828008,Acute Malayan filarial abscess
240827003,Malayan filarial fever
240730004,Acute disseminated classical histoplasmosis
71590000,Trichomonal prostatitis
195647007,Acute respiratory infections
371044001,Transient respiratory distress with sepsis
195742007,Acute lower respiratory tract infection
187027001,Acute pulmonary coccidioidomycosis
184431000119108,Acute pneumonia due to coccidioidomycosis
312371005,Acute infective bronchitis
233598009,Acute bacterial bronchitis
27836007,Pertussis
59475000,Pneumonia in pertussis
408682005,Healthcare associated pertussis
195720006,Acute streptococcal bronchitis
195719000,Acute pneumococcal bronchitis
195721005,Acute haemophilus influenzae bronchitis
233599001,Acute mycoplasmal bronchitis
195722003,Acute Moraxella catarrhalis bronchitis
233600003,Acute chlamydial bronchitis
233601004,Acute viral bronchitis
233602006,Acute viral bronchiolitis
195739001,Acute bronchiolitis due to respiratory syncytial virus
233603001,Acute bronchiolitis due to adenovirus
445102008,Bronchiolitis due to Human metapneumovirus
195727009,Acute respiratory syncytial virus bronchitis
195728004,Acute bronchitis due to rhinovirus
195725001,Acute coxsackievirus bronchitis
195726000,Acute parainfluenza virus bronchitis
195729007,Acute echovirus bronchitis
195717003,Acute purulent bronchitis
312403005,Legionnaire's disease
408681003,Healthcare associated legionnaire's disease
301824001,Acute viral laryngotracheitis
187069002,Acute pulmonary blastomycosis
58524006,Acute pulmonary histoplasmosis
240741002,Acute pulmonary African histoplasmosis
285381006,Acute infective exacerbation of chronic obstructive airways disease
196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection
54398005,Acute upper respiratory infection
445130008,Acute infective adenoiditis
195662009,Acute viral pharyngitis
232400003,Acute herpes zoster pharyngitis
232399005,Acute herpes simplex pharyngitis
195676005,Acute viral tonsillitis
40766000,Enteroviral lymphonodular pharyngitis
186659004,Herpangina
195685005,Acute pneumococcal laryngitis
195684009,Acute haemophilus influenzae laryngitis
240444009,Fusobacterial necrotizing tonsillitis
75498004,Acute bacterial sinusitis
195686006,Acute suppurative laryngitis
21060003,Acute bacterial epiglottitis
43692000,Influenzal acute upper respiratory infection
232404007,Acute pharyngeal candidiasis
58031004,Suppurative pharyngitis
232418000,Acute infection of tonsillar remnant
58763001,Acute empyema of nasal sinus
16036000,Acute empyema of frontal sinus
35168006,Acute empyema of ethmoidal sinus
76653009,Acute empyema of maxillary sinus
27278006,Acute empyema of sphenoidal sinus
195658003,Acute bacterial pharyngitis
195660001,Acute staphylococcal pharyngitis
195673002,Acute staphylococcal tonsillitis
195671000,Acute bacterial tonsillitis
195672007,Acute pneumococcal tonsillitis
195659006,Acute pneumococcal pharyngitis
78337007,Acute upper respiratory infection of multiple sites
240800002,Acute clonorchiasis
196301001,Acute enamel dental caries
194945009,Acute myocarditis - diphtheritic
186365005,Acute meningococcemia
409631000,Acute viral disease
3163006,Acute adenoviral follicular conjunctivitis
237529005,Acute viral thyroiditis
194944008,Acute myocarditis - coxsackie
230161000,Acute viral encephalitis
192689006,Rubella encephalitis
186498004,Epidemic encephalitis
35640008,Acute adenoviral encephalitis
82547005,Acute adenoviral meningoencephalitis
111897007,Acute necrotizing encephalitis
76474001,Herpetic acute necrotizing encephalitis
230174006,Rhabdovirus encephalitis
230162007,Enteroviral encephalitis
240463005,Acute neurological rabies
266196000,Rabies - hydrophobia
409671005,Dengue shock syndrome
398102009,Acute poliomyelitis
397928009,Infantile paralysis
172672006,Acute poliomyelitis with paralysis except bulbar
446312004,Acute poliomyelitis due to Human poliovirus 1
429297003,Acute nonparalytic poliomyelitis due to human poliovirus 1
446958005,Acute paralytic poliomyelitis due to Human poliovirus 1
446957000,Acute bulbar poliomyelitis due to Human poliovirus 1
14535005,Acute nonparalytic poliomyelitis
398256009,Epidemic acute poliomyelitis
240459003,Abortive poliomyelitis
240460008,Acute paralytic poliomyelitis
64764001,"Acute paralytic poliomyelitis, bulbar"
446311006,Acute bulbar poliomyelitis due to Human poliovirus 2
186479001,"Acute paralytic poliomyelitis, wild virus, imported"
186480003,"Acute paralytic poliomyelitis, wild virus, indigenous"
447378002,Acute paralytic poliomyelitis due to Human poliovirus 3
186476008,Acute paralytic non-bulbar poliomyelitis
447262002,Acute paralytic poliomyelitis due to Human poliovirus 2
186478009,"Acute paralytic poliomyelitis, vaccine-associated"
398327006,Anterior acute poliomyelitis
24059009,Acute cerebellar ataxia due to varicella
398264003,Acute hemorrhagic conjunctivitis
398273006,Epidemic hemorrhagic conjunctivitis
359628008,Conjunctivitis due to enterovirus type 70
40959008,Acute viral pericarditis
194905000,Acute pericarditis - coxsackie
111880001,Acute HIV infection
423628002,Acute herpes zoster neuropathy
235122006,Acute viral sialadenitis
235123001,Mumps acute sialadenitis
240527008,Mumps submandibular sialadenitis
240529006,Mumps sublingual sialadenitis
231986000,Acute retinal necrosis
422471006,Herpes zoster acute retinal necrosis
230197009,Acute viral transverse myelitis
27810000,Acute viral tubulointerstitial nephritis
57412004,Acute viral hepatitis
235867002,Acute hepatitis E
76795007,Acute type B viral hepatitis
235864009,Acute hepatitis B with hepatitis D
186624004,Acute hepatitis B with delta agent (coinfection) with hepatic coma
186626002,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
13265006,Acute fulminating type B viral hepatitis
25102003,Acute type A viral hepatitis
18917003,Acute fulminating type A viral hepatitis
45042004,Acute fulminating viral hepatitis
235868007,Acute non-A non-B hepatitis
235866006,Acute hepatitis C
230536009,Acute trigeminal herpes zoster
240831009,Acute Timorian filariasis
240832002,Timorian filarial fever
240833007,Acute Timorian filarial abscess
196298000,Acute dentine dental caries
459056003,Acute infective endocarditis
111286002,Acute bacterial endocarditis
44051003,Malignant endocarditis
61048000,Gonococcal endocarditis
240380008,Acute tuberculous ulcer
25476006,Acute suppurative thyroiditis
233881003,Acute infective pericarditis
17079009,Acute bacterial pericarditis
194918008,Acute streptococcal pericarditis
194916007,Acute pneumococcal pericarditis
194908003,Acute tuberculous pericarditis
194910001,Acute gonococcal pericarditis
194906004,Acute meningococcal pericarditis
194907008,Acute syphilitic pericarditis
194917003,Acute staphylococcal pericarditis
409779000,Acute infection of bone
203159006,Acute osteomyelitis-lumbar spine
268016009,Acute osteomyelitis of the pelvic region and/or thigh
80507005,Acute osteomyelitis of pelvic region
203161002,Acute osteomyelitis-coccyx
203160001,Acute osteomyelitis-sacrum
203170004,Acute osteomyelitis of femur
203173002,Acute osteomyelitis-fibula
203158003,Acute osteomyelitis-thoracic spine
7587000,Acute osteomyelitis of shoulder region
203163004,Acute osteomyelitis-scapula
203162009,Acute osteomyelitis-clavicle
409780002,Acute osteomyelitis
444760002,Acute osteomyelitis of vertebra
287052003,Acute osteomyelitis - hip
287050006,Acute osteomyelitis - elbow
19956000,Acute osteomyelitis of forearm
203179003,Acute hematogenous osteomyelitis
288242005,Acute osteomyelitis - knee
59867002,Acute osteomyelitis of multiple sites
10188004,Acute osteomyelitis of hand
203168008,Acute osteomyelitis-metacarpal
203169000,Acute osteomyelitis-phalanx of finger/thumb
203172007,Acute osteomyelitis-tibia
203171000,Acute osteomyelitis-patella
203165006,Acute osteomyelitis-radius
95424002,Acute osteomyelitis of cranium
109310009,Acute osteomyelitis of frontal bone
109311008,Acute osteomyelitis of zygomatic bone
109313006,Acute osteomyelitis of temporal bone
109314000,Acute osteomyelitis of nasal-orbit complex
109693003,Acute osteomyelitis of maxilla
109312001,Acute osteomyelitis of sphenoid bone
268017000,Acute osteomyelitis of the ankle and/or foot
240143007,Acute osteomyelitis of ankle
203175009,Acute osteomyelitis-talus
203174008,Acute osteomyelitis-calcaneum
203178006,Acute osteomyelitis-phalanx of toe
203177001,Acute osteomyelitis-metatarsal
203157008,Acute osteomyelitis-cervical spine
203167003,Acute osteomyelitis-carpal bone
203153007,Acute osteomyelitis of the lower leg
203166007,Acute osteomyelitis-ulna
203164005,Acute osteomyelitis of humerus
32392003,Acute osteomyelitis of jaw
109696006,Acute osteomyelitis of mandible
194947001,Acute myocarditis - syphilitic
17305005,Acute gonorrhea of genitourinary tract
65049003,Acute gonococcal seminal vesiculitis
50970007,Acute gonorrhea of upper genitourinary tract
65295003,Acute gonococcal endometritis
45377007,Acute gonococcal salpingitis
111806005,Acute gonococcal prostatitis
54825009,Acute gonorrhea of lower genitourinary tract
24868007,Acute gonococcal cystitis
80604007,Acute gonococcal bartholinitis
20943002,Acute gonococcal cervicitis
2390000,Acute gonococcal vulvovaginitis
29864006,Acute gonococcal urethritis
236766009,Gonococcal epididymitis
30168008,Acute gonococcal epididymo-orchitis
129131007,Acute infective polyneuritis
31860008,Acute bacterial peritonitis
426637005,Acute lyme disease
403464001,Acute infective balanitis
240722000,Acute disseminated candidiasis
240390000,Acute localized suppurative melioidosis
76571007,Septic shock
213256002,Postoperative septic shock
371769008,Endotoxic shock
213255003,Postoperative endotoxic shock
70993000,Pyrogenic shock
234173007,Hyperdynamic septic shock
609487007,Induced termination of pregnancy complicated by septic shock
25691001,Legal termination of pregnancy with septic shock
82338001,Illegal termination of pregnancy with septic shock
361206004,Gram-positive septic shock
18504008,Toxic shock syndrome
240450004,Staphylococcal toxic shock syndrome
127411000119102,Toxic shock syndrome due to methicillin susceptible Staphylococcus aureus
240451000,Streptococcal toxic shock syndrome
15765005,Septic shock due to transfusion
234174001,Hypodynamic septic shock
24051007,Septic shock following molar AND/OR ectopic pregnancy
12983003,Failed attempted termination of pregnancy with septic shock
237037006,Acute pelvic inflammatory disease
198133008,Acute perioophoritis
397810006,Pyosalpinx
69810009,Acute hemorrhagic colitis due to Escherichia coli
194950003,Acute myocarditis - meningococcal
240066005,Acute contagious conjunctivitis
173599005,Acute necrotizing ulcerative gingivostomatitis
431309003,Acute urinary tract infection
431308006,Acute upper urinary tract infection
66993009,Acute infectious tubulointerstitial nephritis
16751003,Acute tubulointerstitial nephritis associated with systemic infection
91195006,Acute fungal tubulointerstitial nephritis
22352007,Acute bacterial tubulointerstitial nephritis
36689008,Acute pyelonephritis
197769007,Acute pyelonephritis with medullary necrosis
197768004,Acute pyelonephritis without medullary necrosis
123754002,Focal pyelonephritis
236373001,Emphysematous pyelonephritis
197770008,Acute pyonephrosis
85495007,Acute pyonephrosis without renal medullary necrosis
7448003,Acute pyonephrosis with renal medullary necrosis
431737008,Acute lower urinary tract infection
307426000,Acute infective cystitis
236702008,Acute culture positive cystitis
409553007,Acute Q fever
191502008,"Acute confusional state, of infective origin"
48516007,Acute infectious lymphocytosis
426165006,Acute genitourinary chlamydia infection
39224005,Acute amebiasis
186116005,Acute amebic dysentery
111912001,Acute amebic dysentery without abscess
194948006,Acute myocarditis - toxoplasmosis
186311005,Acute and fulminating melioidosis
235124007,Acute bacterial sialadenitis
26071001,Acute infective arthritis
18920006,Acute bacterial arthritis
372938004,Acute suppurative arthritis due to bacteria
372940009,Acute suppurative arthritis
23950002,Acute infective polyarthritis
36789003,Acute infective gastroenteritis
359613008,Acute infectious nonbacterial gastroenteritis
314031009,Acute toxoplasmosis chorioretinitis
68863007,Acute syphilitic meningitis
186863009,Acute secondary syphilitic meningitis
109902004,Acute purulent meningitis
194949003,Acute myocarditis - tuberculous
240653009,Acute Chagas' disease
186813004,Acute Chagas' disease with heart involvement
16116004,Acute lymphadenopathic toxoplasmosis
426247003,Acute genitourinary Chlamydia trachomatis infection
240386002,Acute localized suppurative glanders
235070002,Acute oral atrophic candidiasis
25629007,Acute tuberculosis
58374007,Acute diffuse tuberculosis
186276006,Acute miliary tuberculosis
186278007,Acute miliary tuberculosis of multiple sites
235748008,Fulminant amebic colitis
241929008,Acute allergic reaction
39579001,Anaphylaxis
241952007,Exercise anaphylaxis
14654002,Localized anaphylaxis
241954008,Idiopathic anaphylaxis
417516000,Anaphylaxis due to substance
241937000,Drug-induced anaphylaxis
241939002,Insulin-induced anaphylaxis
419042001,"Anaphylactic shock, due to adverse effect of correct medicinal substance properly administered"
241938005,Penicillin-induced anaphylaxis
213320003,Anaphylactic shock due to serum
91941002,Food anaphylaxis
241936009,Cow's milk protein-induced anaphylaxis
441492003,Anaphylaxis due to seed
402390008,Anaphylaxis due to ingested food
241935008,Egg white-induced anaphylaxis
429751004,Anaphylaxis due to fruit
241934007,Seafood-induced anaphylaxis
427903006,Anaphylaxis due to fish
442052005,Anaphylaxis due to shellfish
427833000,Anaphylaxis due to mollusk
428795003,Anaphylaxis due to vegetable
241933001,Peanut-induced anaphylaxis
441495001,Anaphylaxis due to tree nut
241950004,Ionic compound-induced anaphylactoid reaction
241941001,Seminal fluid-induced anaphylaxis
241940000,Human protein-induced anaphylaxis
241930003,Venom-induced anaphylaxis
430980000,Anaphylaxis due to hymenoptera venom
241931004,Bee sting-induced anaphylaxis
241932006,Wasp sting-induced anaphylaxis
241942008,Aeroallergen-induced anaphylaxis
441593005,Anaphylaxis due to latex
79337003,Anaphylactic transfusion reaction
402391007,Anaphylaxis secondary to bite and/or sting
67195008,Acute stress disorder
192038005,Acute fugue state due to acute stress reaction
192041001,Acute situational disturbance
279611005,Shell shock
192039002,Acute stupor state due to acute stress reaction
192037000,Acute panic state due to acute stress reaction
192044009,Stress reaction causing mixed disturbance of emotion and conduct
61157009,Combat fatigue
111273006,Acute respiratory disease
10613001,Acute berylliosis
84437006,Acute pneumothorax
233936003,Acute massive pulmonary embolism
304527002,Acute asthma
57546000,Asthma with status asthmaticus
91340006,Extrinsic asthma with status asthmaticus
59327009,Intrinsic asthma with status asthmaticus
15805002,Acute sinusitis
232391008,Recurrent acute sinusitis
5028002,Acute pansinusitis
91038008,Acute frontal sinusitis
232389000,Pott's puffy tumor
17357005,Acute suppuration of frontal sinus
67832005,Acute ethmoidal sinusitis
63140003,Acute suppuration of ethmoidal sinus
80600003,Acute suppuration of nasal sinus
11134001,Acute suppuration of sphenoidal sinus
23884004,Acute suppuration of maxillary sinus
77919000,Acute sphenoidal sinusitis
431231008,Acute rhinosinusitis
68272006,Acute maxillary sinusitis
111282000,Acute respiratory insufficiency
276443001,Acute laryngitis and/or tracheitis
6655004,Acute laryngitis
55355000,Acute laryngopharyngitis
195682008,Acute catarrhal laryngitis
232429001,Acute subglottic laryngitis
232426008,Acute simple laryngitis
232428009,Acute membranous laryngitis
195683003,Acute phlegmonous laryngitis
195681001,Acute ulcerative laryngitis
29608009,Acute epiglottitis
232432003,Pediatric acute epiglottitis and supraglottitis
266337001,Acute epiglottitis (non-streptococcal)
49908003,Acute epiglottitis without obstruction
232433008,Adult acute epiglottitis and supraglottitis
222008,Acute epiglottitis with obstruction
408669002,Acute laryngitis with obstruction
195680000,Acute edematous laryngitis
64375000,Acute laryngotracheitis
37948003,Acute laryngotracheitis without obstruction
59967003,Acute laryngotracheitis with obstruction
71186008,Croup
232430006,Recurrent allergic croup
275495004,Acute fibrinous laryngotracheobronchitis
26650005,Acute tracheitis
8519009,Acute tracheitis with obstruction
64369009,Acute tracheitis without obstruction
425748003,Acute exacerbation of chronic bronchitis
442025000,Acute exacerbation of chronic asthmatic bronchitis
32643003,Hedblom's syndrome
65710008,Acute respiratory failure
397767007,Acute respiratory failure requiring reintubation
67905004,Acute-on-chronic respiratory failure
123587001,Acute bronchopneumonia
40541001,Acute pulmonary edema
233709006,Toxic pulmonary edema
233706004,Drug-induced acute pulmonary edema
233710001,Chemical-induced pulmonary edema
10519008,Acute pulmonary edema due to fumes AND/OR vapors
233711002,Oxygen-induced pulmonary edema
61233003,Silo-fillers' disease
360371003,Acute cardiac pulmonary edema
17668000,Acute pleuropericarditis
60118008,Acute respiratory alkalosis
123712000,Acute atelectasis
111274000,Acute abscess of nasal sinus
25764005,Acute abscess of frontal sinus
30239003,Acute abscess of sphenoidal sinus
61711004,Acute abscess of ethmoidal sinus
89194009,Acute abscess of maxillary sinus
78590007,Acute mountain sickness
7550008,Transitory tachypnea of newborn
276531000,Mild transient tachypnea of newborn
276532007,Severe transient tachypnea of newborn
236432001,Pulmonary renal syndrome
195951007,Acute exacerbation of chronic obstructive airways disease
1751000119100,Acute exacerbation of chronic obstructive airways disease with asthma
232343007,Acute irritant rhinitis
67189007,Acute pulmonary heart disease
49584005,Acute cor pulmonale
363746003,Acute pharyngitis
195656004,Acute phlegmonous pharyngitis
195657008,Acute ulcerative pharyngitis
195668008,Acute ulcerative tonsillitis
195655000,Acute gangrenous pharyngitis
195670004,Acute gangrenous tonsillitis
17741008,Acute tonsillitis
195677001,Recurrent acute tonsillitis
195669000,Acute catarrhal tonsillitis
195667003,Acute follicular tonsillitis
195666007,Acute erythematous tonsillitis
302911003,Acute lingual tonsillitis
10509002,Acute bronchitis
5875001,Acute bronchitis with obstruction
80257001,Acute bronchitis with bronchospasm
5505005,Acute bronchiolitis
718004,Acute bronchiolitis with obstruction
15199004,Acute bronchiolitis with bronchospasm
195737004,Acute exudative bronchiolitis
195715006,Acute membranous bronchitis
195714005,Acute fibrinous bronchitis
275499005,Acute wheezy bronchitis
206506005,Transitory metabolic disturbance in infant of pre-diabetic mother
132241000119103,Acute deep venous thrombosis of calf
28505005,Acute idiopathic thrombocytopenic purpura
128483002,Acute disease of orbit
47144000,Acute neutrophilia
961007,"Erythema nodosum, acute form"
128481000,Acute disease of musculoskeletal system
25616007,Acute arthropathy
11939005,Acute arthritis
75822003,Acute polyarticular juvenile rheumatoid arthritis
81077008,Acute rheumatic arthritis
443943005,Acute injury of posterior cruciate ligament
66191007,Transient arthropathy
201996005,Transient arthropathy of multiple sites
201988000,Transient arthropathy of the shoulder region
201999003,Transient arthropathy of acromioclavicular joint
201997001,Transient arthropathy of shoulder
202003006,Transient arthropathy-wrist
202018007,Transient arthropathy of interphalangeal joint of toe
240159007,Transient osteoporosis of hip
240160002,Transient osteoporosis of hip in pregnancy
202010000,Transient arthropathy-knee
202006003,Transient arthropathy of distal interphalangeal joint of finger
201998006,Transient arthropathy of sternoclavicular joint
202011001,Transient arthropathy of tibiofibular joint
202012008,Transient arthropathy of ankle joint
202004000,Transient arthropathy of metacarpophalangeal joint
201991000,Transient arthropathy of the hand
202017002,Transient arthropathy of lesser metatarsophalangeal joint
201992007,Transient arthropathy of the pelvic region and thigh
202005004,Transient arthropathy of proximal interphalangeal joint of finger
202014009,Transient arthropathy of talonavicular joint
202001008,Transient arthropathy of elbow joint
202016006,Transient arthropathy of first metatarsophalangeal joint
202924004,Transient synovitis
301864002,Transient synovitis of hip
202002001,Transient arthropathy of distal radioulnar joint
202013003,Transient arthropathy of subtalar joint
202009005,Transient arthropathy of sacroiliac joint
201994008,Transient arthropathy of the ankle and/or foot
42898009,Acute polyarthritis
62216007,Familial arthrogryposis-cholestatic hepatorenal syndrome
432733005,Acute degenerative joint disease of shoulder region
203375003,Non-traumatic acute-on-chronic slipped upper femoral epiphysis
445760005,Acute cervical sprain
438582003,Acute injury of anterior cruciate ligament
127336002,Acute disease of bone
51211002,Acute petrositis
42501001,Acute nonsuppurative osteitis of jaw
699528002,Transient osteoporosis
78996009,Acute suppurative alveolar periostitis
84775005,Acute necrosis of bone
95419000,Acute muscle stiffness of neck
700376009,Acute rupture of Achilles tendon
5523002,Idiopathic myoglobinuria
240133009,Familial paroxysmal rhabdomyolysis
230683002,Transient neonatal myasthenia
240106005,Benign acute myositis
307674009,Benign paroxysmal positional vertigo nystagmus
28357009,Transitory postpartum mood disturbance
191564007,Acute exacerbation of chronic latent schizophrenia
444108000,Acute sickle cell splenic sequestration crisis
389201004,Transient neonatal hyperparathyroidism
27942005,Shock
31327004,Burn shock
67042008,Failed attempted termination of pregnancy complicated by shock
53111003,Failed attempted termination of pregnancy with postoperative shock
39419009,Hypovolemic shock
355001,Hemorrhagic shock
213258001,Postoperative hypovolemic shock
84007008,Shock during AND/OR following labor AND/OR delivery
200107004,Obstetric shock with antenatal problem
200108009,Obstetric shock with postnatal problem
200106008,Obstetric shock - delivered with postnatal problem
200105007,Obstetric shock - delivered
64169002,Traumatic shock
276227005,Refractory shock
69344006,Shock following molar AND/OR ectopic pregnancy
11669000,Postoperative shock following molar AND/OR ectopic pregnancy
89138009,Cardiogenic shock
417343009,Vasogenic shock
129577007,Neurogenic shock
16217003,Shock due to anesthesia
288294007,Anesthetic shock - sensitivity
609453002,Induced termination of pregnancy complicated by shock
27169005,Legal termination of pregnancy complicated by shock
21280005,Legal termination of pregnancy with postoperative shock
61752008,Illegal termination of pregnancy complicated by shock
34701001,Illegal termination of pregnancy with postoperative shock
609479006,Induced termination of pregnancy complicated by postoperative shock
58581001,Postoperative shock
132271000119105,Acute deep venous thrombosis of thigh
127339009,Acute metabolic disorder
236496000,Acute urate nephropathy
75387001,Transient neonatal hypertyrosinemia
70644008,Acute respiratory acidosis
16917007,Acute zinc deficiency
61120003,Acute hypokalemia
15770003,Acute cholestatic jaundice syndrome
51097006,Transient neonatal hyperglycinemia
12246008,Acute neuronopathic Gaucher's disease
237603002,Transient neonatal diabetes mellitus
609580007,"Diabetes mellitus, transient neonatal 2"
609581006,"Diabetes mellitus, transient neonatal 3"
609579009,"Diabetes mellitus, transient neonatal 1"
276563006,Idiopathic transient neonatal hyperinsulinemia
88380005,Acute milk alkali syndrome
276586004,Transient neonatal renal tubular acidosis
276558007,Transient neonatal hyperglycemia
237623001,Acute hyperglycemia
231489001,Acute transient psychotic disorder
268624000,Acute paranoid reaction
191678001,Reactive confusion
191572009,Acute exacerbation of chronic schizoaffective schizophrenia
360002,Acute radiation disease
236628001,Acute radiation cystitis
127057004,Paroxysmal cold hemoglobinuria
127058009,Paroxysmal cold hemoglobinuria associated with tertiary syphilis
50253007,Secondary paroxysmal cold hemoglobinuria
35703006,Post-viral paroxysmal cold hemoglobinuria
62871001,Idiopathic paroxysmal cold hemoglobinuria
31615009,Transitory neonatal hypoparathyroidism
431723004,Pulmonary transfusion reaction of sudden onset
36994005,Transient visual loss
79471008,Sudden hearing loss
191539009,Acute exacerbation of chronic hebephrenic schizophrenia
15203004,Sudden visual loss
233670004,Transient mucociliary clearance defect
23971007,Acute vomiting
191531007,Acute exacerbation of chronic schizophrenia
191548004,Acute exacerbation of chronic catatonic schizophrenia
191555002,Acute exacerbation of chronic paranoid schizophrenia
82430007,Acute megaloblastic anemia
26944003,Acute megaloblastic anemia due to dialysis
73891003,Acute megaloblastic anemia due to nitrous oxide
71855000,Acute megaloblastic anemia secondary to total parenteral nutrition
62389006,Acute megaloblastic anemia due to severe illness
32605001,Transient neonatal disorder of coagulation
23205009,Transient neonatal thrombocytopenia
